id,citation,link
"Kantewoe._(1933)._Paloe,_Kantewu,_Kantewoe._Indonesien_-_SMVK_-_013335","Strandlund, Olof. ""Kantewoe."" 1933. Photograph, 013335. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1306132.","https://commons.wikimedia.org/wiki/File:Kantewoe._(1933)._Paloe,_Kantewu,_Kantewoe._Indonesien_-_SMVK_-_013335.tif"
"Ny_by_där_en_smedja_låg_under_Dr._Kauderns._expedition._Lokal,_Kantewoe,_Central-celebes_-_SMVK_-_010911","Strandlund, Olof. [Untitled: landscape, mountain, village, palms, trees, houses, thatched roofs, road, path]. 1935. Photograph, 010911. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1304415.","https://commons.wikimedia.org/wiki/File:Ny_by_d%C3%A4r_en_smedja_l%C3%A5g_under_Dr._Kauderns._expedition._Lokal,_Kantewoe,_Central-celebes_-_SMVK_-_010911.tif"
"Bebyggelsemotiv._Lokal,_Kaperoi,_Palolo._Öster_om_Paloedalen,_Central-celebes_-_SMVK_-_010923","Strandlund, Olof. [Untitled: landscape, mountain, forest, palms, houses, huts, roofs, fence, path]. 1919. Photograph, 010923. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1304417.","https://commons.wikimedia.org/wiki/File:Bebyggelsemotiv._Lokal,_Kaperoi,_Palolo._%C3%96ster_om_Paloedalen,_Central-celebes_-_SMVK_-_010923.tif"
"Bolapapoe,_Koelawis_huvudby._(se_vidare_textkort)._Lokal,_Bolapapoe,_Koelawi,_Central-celebes_-_SMVK_-_010908b","Strandlund, Olof. ""Bolapapoe, Koelawis huvudby."" 1935. Photograph, 010908b. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/2559461.","https://commons.wikimedia.org/wiki/File:Bolapapoe,_Koelawis_huvudby._(se_vidare_textkort)._Lokal,_Bolapapoe,_Koelawi,_Central-celebes_-_SMVK_-_010908b.tif"
"Kantewoe,_Central-Celebes._Adjutant_och_fru_Woodward_bland_infödingar._Kantewoe._Indonesien_-_SMVK_-_1573D","Strandlund, Olof. ""Adjutant och fru Woodward bland infödingar."" 1921. Photograph, 1573D. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113237.","https://commons.wikimedia.org/wiki/File:Kantewoe,_Central-Celebes._Adjutant_och_fru_Woodward_bland_inf%C3%B6dingar._Kantewoe._Indonesien_-_SMVK_-_1573D.tif"
Frälsningsarmén_håller_friluftsmöte._Sulawesi._Indonesien_-_SMVK_-_1574D,"Strandlund, Olof. ""Frälsningsarmén håller friluftsmöte."" ca. 1916–1920. Photograph, 1574D. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113238.",https://commons.wikimedia.org/wiki/File:Fr%C3%A4lsningsarm%C3%A9n_h%C3%A5ller_friluftsm%C3%B6te._Sulawesi._Indonesien_-_SMVK_-_1574D.tif
Frälsningsarméns_skola._Sulawesi._Indonesien_-_SMVK_-_010922,"Strandlund, Olof. ""Frälsningsarméns skola."" 1951. Photograph, 010922. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113402.",https://commons.wikimedia.org/wiki/File:Fr%C3%A4lsningsarm%C3%A9ns_skola._Sulawesi._Indonesien_-_SMVK_-_010922.tif
Infödingar_i_byn_Birro._Europeerna_närmast_kameran_äro_finnen_E._Rosenlund_och_engelsmannen_L_-_SMVK_-_010920,"Strandlund, Olof. ""Infödingar i byn Birro."" 1919. Photograph, 010920. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1887670.",https://commons.wikimedia.org/wiki/File:Inf%C3%B6dingar_i_byn_Birro._Europeerna_n%C3%A4rmast_kameran_%C3%A4ro_finnen_E._Rosenlund_och_engelsmannen_L_-_SMVK_-_010920.tif
Flickor_från_Koelawi._Kulawi._Indonesien_-_SMVK_-_010904,"Strandlund, Olof. ""Flickor från Koelawi."" 1936. Photograph, 010904. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1887663.",https://commons.wikimedia.org/wiki/File:Flickor_fr%C3%A5n_Koelawi._Kulawi._Indonesien_-_SMVK_-_010904.tif
"Byn_Kantewoe_motiv_mitt_inne_i_byn._Lokal,_Kantewoe,_Central-celebes._Fotograf,_Missionär_O_-_SMVK_-_010909","Strandlund, Olof. ""Byn Kantewoe motiv mitt inne i byn."" 1935. Photograph, 010909. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1304413.","https://commons.wikimedia.org/wiki/File:Byn_Kantewoe_motiv_mitt_inne_i_byn._Lokal,_Kantewoe,_Central-celebes._Fotograf,_Mission%C3%A4r_O_-_SMVK_-_010909.tif"
"Hus_i_Koelawi._(1914)_Lokal,_Celebes._Mellan-Celebes,_Paloe._Koelawi._Paloe._Indonesien_-_SMVK_-_013336","Strandlund, Olof. ""Hus i Koelawi."" 1914. Photograph, 013336. Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1306133.","https://commons.wikimedia.org/wiki/File:Hus_i_Koelawi._(1914)_Lokal,_Celebes._Mellan-Celebes,_Paloe._Koelawi._Paloe._Indonesien_-_SMVK_-_013336.tif"
"Förnämt_folk_jämte_goeroen._I_bakgrunden_toppen_Kawean_Bitocon._Poso,_Banggaai,_Sulawesi_-_SMVK_-_000291","Kaudern, Walter. ""Förnämt folk jämte goeroen."" December 1919. Photograph, 000291. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113486.","https://commons.wikimedia.org/wiki/File:F%C3%B6rn%C3%A4mt_folk_j%C3%A4mte_goeroen._I_bakgrunden_toppen_Kawean_Bitocon._Poso,_Banggaai,_Sulawesi_-_SMVK_-_000291.tif"
"Behoakvinnor_i_högtidskläder_på_besök_i_Koelawi._Foto_bakifrån._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_000170","Kaudern, Walter. ""Behoakvinnor i högtidskläder på besök i Koelawi."" 1918. Photograph, 000170. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113007.","https://commons.wikimedia.org/wiki/File:Behoakvinnor_i_h%C3%B6gtidskl%C3%A4der_p%C3%A5_bes%C3%B6k_i_Koelawi._Foto_bakifr%C3%A5n._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_000170.tif"
"Tole-flickor_från_Simpoe,_klädda_i_basttygskläder._Framsida._Obs_-_SMVK_-_010724","Kaudern, Walter. ""Tole-flickor från Simpoe, klädda i basttygskläder."" 1918. Photograph, 010724. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/112329.","https://commons.wikimedia.org/wiki/File:Tole-flickor_fr%C3%A5n_Simpoe,_kl%C3%A4dda_i_basttygskl%C3%A4der._Framsida._Obs_-_SMVK_-_010724.tif"
"Adlig_flicka_i_blå_och_vit_kjol_med_huvudband_av_pärlor._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_000233","Kaudern, Walter. ""Adlig flicka i blå och vit kjol med huvudband av pärlor."" June 1918. Photograph, 000233. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/112999.","https://commons.wikimedia.org/wiki/File:Adlig_flicka_i_bl%C3%A5_och_vit_kjol_med_huvudband_av_p%C3%A4rlor._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_000233.tif"
